,watch-title,y,watch-view-count,watch-time-text,content_watch-info-tag-list,watch7-headline,watch7-user-header,watch8-sentiment-actions,og:image,og:image:width,og:image:height,og:description,og:video:width,og:video:height,og:video:tag,channel_link_0,probability_liking_video
505,Platform Overview - Machine Learning,,4.298 visualizações,Publicado em 21 de mai. de 2019,Ciência e tecnologia,Platform Overview - Machine Learning,"Google Cloud Platform













Carregando...
    







        Cancelar inscrição de Google Cloud Platform?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição400 mil 











Carregando...
    









Carregando...
    













        Processando...","4.298 visualizações







141

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



142


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/QR_LQQ-vvko/maxresdefault.jpg,1280.0,720.0,"In this short GCP Essentials video, see how GCP has made Machine Learning easier for you from behind the scenes. Hear Alexis Moussine-Pouchkine further discu...",1280.0,720.0,Alexis Moussine Pouchkine,/channel/UCJS9pqu9BzkAMNTmzNMNhvg,0.428
507,Kaggle Meetup: Ship Detection Challenge,,504 visualizações,Publicado em 30 de nov. de 2018,Ciência e tecnologia,Kaggle Meetup: Ship Detection Challenge,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","504 visualizações







9

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



10


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/QXEy4rdLsDw/maxresdefault.jpg,1280.0,720.0,Video from the 2018-11-29 meetup. Kaggle page: https://www.kaggle.com/c/airbus-ship-detection Meetup page: https://www.meetup.com/LearnDataScience/events/hjh...,1280.0,720.0,learn data science,/channel/UCJhW_16uxALr0X4olEW2p5A,0.387
521,Kaggle iMaterialist (Fashion) 2019 at FGVC6 — Илья Денисов,,526 visualizações,Publicado em 18 de set. de 2019,Educação,Kaggle iMaterialist (Fashion) 2019 at FGVC6 — Илья Денисов,"ML Trainings













Carregando...
    







        Cancelar inscrição de ML Trainings?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição8,52 mil 











Carregando...
    









Carregando...
    













        Processando...","526 visualizações







18

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



19


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/RUfmEj1MC3k/maxresdefault.jpg,1280.0,720.0,"Илья Денисов рассказывает про опыт участия в соревновании Kaggle iMaterialist (Fashion) 2019 at FGVC6, в котором он выиграл золотую медаль. Из этого видео вы...",1280.0,720.0,kaggle,/channel/UCeq6ZIlvC9SVsfhfKnSvM9w,0.262
522,Anomaly detection using machine learning in Azure Stream Analytics | Azure Friday,,2.570 visualizações,Publicado em 13 de fev. de 2019,Ciência e tecnologia,"#azure #azurestreamanalytics #machinelearning



    Anomaly detection using machine learning in Azure Stream Analytics | Azure Friday","Microsoft Developer













Carregando...
    







        Cancelar inscrição de Microsoft Developer?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição153 mil 











Carregando...
    









Carregando...
    













        Processando...","2.570 visualizações







32

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



33


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/Ra8HhBLdzHE/maxresdefault.jpg,1280.0,720.0,"Azure Stream Analytics is a fully managed serverless offering on Azure. With the new Anomaly Detection functions in Stream Analytics, the whole complexity as...",1280.0,720.0,Azure Friday,/channel/UCsMica-v34Irf9KVTh6xx-g,0.261
527,Reinforcement Learning with TensorFlow and Unity - Pittsburgh ML Summit ‘19,,545 visualizações,Publicado em 22 de nov. de 2019,Ciência e tecnologia,Reinforcement Learning with TensorFlow and Unity - Pittsburgh ML Summit ‘19,"Google Developers














Carregando...
    







        Cancelar inscrição de Google Developers?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,96 mi 











Carregando...
    









Carregando...
    













        Processando...","545 visualizações







13

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



14


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/S-MbpQiwfls/maxresdefault.jpg,1280.0,720.0,"Dan Goncharov, Head of 42 Robotics GDG Fremont, talks about Reinforcement Learning with TensorFlow and Unity. Also, see an overview of Machine Learning in ge...",1280.0,720.0,Dan Goncharov,/channel/UC_x5XG1OV2P6uZZ5FSM9Ttw,0.276
535,Identifying art through machine learning at MoMA,,9.476 visualizações,Publicado em 7 de mar. de 2018,Entretenimento,"#MachineLearning #Musuem #Art



    Identifying art through machine learning at MoMA","Google Arts & Culture














Carregando...
    







        Cancelar inscrição de Google Arts & Culture?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição135 mil 











Carregando...
    









Carregando...
    













        Processando...","9.476 visualizações







49

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



50


4

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



5",https://i.ytimg.com/vi/SLBqVOnn9Mo/maxresdefault.jpg,1280.0,720.0,"The Art Recognizer, built in collaboration with the Museum of Modern Art, helps you recover details of past exhibits in the snap of a finger. See an interest...",1280.0,720.0,museum of modern art,/channel/UCGn7dlcAmH44GqycKa_3ssA,0.461
557,Deep Learning - Computerphile,,131.286 visualizações,Publicado em 6 de jun. de 2018,Educação,Deep Learning - Computerphile,"Computerphile














Carregando...
    







        Cancelar inscrição de Computerphile?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição1,51 mi 











Carregando...
    









Carregando...
    













        Processando...","131.286 visualizações







3.700

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3.701


48

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



49",https://i.ytimg.com/vi/TJlAxW-2nmI/maxresdefault.jpg,1280.0,720.0,Deep Learning with Convolutional Neural Networks - Dr Mike Pound explains. CNN background: https://youtu.be/py5byOOHZM8 Onion Routing (TOR): https://youtu.be...,1280.0,720.0,Neural Network,/channel/UC9-y-6csu5WGm29I7JiwpnA,0.423
579,How Machine Learning is Impacting Oil and Gas (Cloud Next '18),,6.528 visualizações,Publicado em 26 de jul. de 2018,Ciência e tecnologia,How Machine Learning is Impacting Oil and Gas (Cloud Next '18),"Google Cloud Platform













Carregando...
    







        Cancelar inscrição de Google Cloud Platform?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição400 mil 











Carregando...
    









Carregando...
    













        Processando...","6.528 visualizações







84

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



85


5

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



6",https://i.ytimg.com/vi/UXt7gVz5EPs/maxresdefault.jpg,1280.0,720.0,"New advances in machine learning are helping organizations optimize operations, maximize output, and automate manual processes. However, the scalability of s...",1280.0,720.0,Cloud ML,/channel/UCJS9pqu9BzkAMNTmzNMNhvg,0.355
590,Kaggle Reading Group: Attention is all You Need (Pt. 2) | Kaggle,,2.107 visualizações,Transmitido ao vivo em 26 de dez. de 2018,Ciência e tecnologia,Kaggle Reading Group: Attention is all You Need (Pt. 2) | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","2.107 visualizações







58

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



59


2

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3",https://i.ytimg.com/vi/VEcsf0OKhfw/maxresdefault.jpg,1280.0,720.0,"Join Kaggle Data Scientist Rachael as she reads through an NLP paper! Today's paper is ""Attention is All You Need"" (Vaswani et al 2017). You can find a copy ...",1280.0,720.0,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.434
591,"What makes a good Data Scientist? By Robert Armstrong, Head of Data Science at Tesco",,774 visualizações,Publicado em 9 de out. de 2018,Educação,"What makes a good Data Scientist? By Robert Armstrong, Head of Data Science at Tesco","Data ScienceTech Institute













Carregando...
    







        Cancelar inscrição de Data ScienceTech Institute?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição148 











Carregando...
    









Carregando...
    













        Processando...","774 visualizações







3

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



4


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/VGDtM1-o0wQ/maxresdefault.jpg,1280.0,720.0,"What is the most important thing to make a great Data Scientist? Robert Armstrong, the Head of Data Science at Tesco - the third-largest retailer in the worl...",1280.0,720.0,,/channel/UCp539uwEjrv26fWvUecGsSg,0.274
